,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
124,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,Betsensation,0.75,2.77,4.2,
125,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,bwin,0.68,2.5,3.33,
126,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,Coolbet,0.7,3.0,4.0,
127,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,Curebet,0.73,2.7,4.1,
128,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,GGBET,0.73,2.65,3.66,
129,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,Lasbet,0.74,2.75,4.1,
130,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,Marathonbet,0.73,2.88,3.7,
131,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,Pinnacle,0.73,2.69,4.05,
132,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,Unibet,0.68,2.65,4.2,
133,"Today, 04 Dec  2021, 15:00",Lincoln - Hartlepool,Lincoln,Hartlepool,William Hill,0.67,2.8,3.75,
134,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,10x10bet,0.68,2.88,4.2,
135,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,1xBet,0.66,3.04,4.1,
136,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,Asianodds,0.68,2.82,4.22,
137,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,bet-at-home,0.58,3.0,4.2,
138,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,bet365,0.61,2.8,4.75,
139,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,Betsensation,0.69,2.96,4.4,
140,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,bwin,0.68,2.4,3.6,
141,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,Coolbet,0.65,3.0,4.5,
142,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,Curebet,0.68,2.88,4.2,
143,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,GGBET,0.64,2.96,3.89,
144,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,Lasbet,0.69,2.93,4.3,
145,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,Marathonbet,0.64,3.05,4.2,
146,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,Pinnacle,0.67,2.86,4.22,
147,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,Unibet,0.64,2.9,4.25,
148,"Today, 04 Dec  2021, 15:00",Portsmouth - Harrogate,Portsmouth,Harrogate,William Hill,0.55,2.9,4.8,
149,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,10x10bet,1.66,2.45,1.63,
150,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,1xBet,1.64,2.52,1.59,
151,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,Asianodds,1.59,2.55,1.66,
152,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,bet-at-home,1.6,2.4,1.39,
