,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
100,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Lasbet,0.6,3.1,5.0,
101,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Marathonbet,0.6,3.0,4.75,
102,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Pinnacle,0.6,2.88,4.95,
103,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,Unibet,0.6,2.9,4.7,
104,"Today, 04 Dec  2021, 15:00",Ipswich - Barrow,Ipswich,Barrow,William Hill,0.53,3.0,4.8,
105,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,10x10bet,0.8,2.69,3.6,
106,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,1xBet,0.86,2.58,3.34,
107,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Asianodds,0.81,2.61,3.58,
108,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,bet-at-home,0.8,2.4,3.5,
109,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,bet365,0.75,2.8,3.33,
110,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Betsensation,0.82,2.76,3.7,
111,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,bwin,0.83,2.25,2.8,
112,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Coolbet,0.9,2.6,3.3,
113,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Curebet,0.8,2.69,3.6,
114,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,GGBET,0.85,2.49,3.21,
115,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Lasbet,0.81,2.74,3.6,
116,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Marathonbet,0.83,2.58,3.5,
117,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Pinnacle,0.79,2.68,3.57,
118,"Today, 04 Dec  2021, 15:00",Leyton Orient - Tranmere,Leyton Orient,Tranmere,Unibet,0.9,2.4,3.15,
